date,set06
1120176000000,1.12367
1120435200000,1.12434
1120521600000,1.12618
1120608000000,1.12578
1120694400000,1.1258
1120780800000,1.12632
1121040000000,1.12769
1121126400000,1.12664
1121212800000,1.12379
1121299200000,1.12327
1121385600000,1.12482
1121644800000,1.12581
1121731200000,1.12506
1121817600000,1.12631
1121904000000,1.12554
1121990400000,1.1235
1122249600000,1.12404
1122336000000,1.12712
1122422400000,1.12861
1122508800000,1.12917
1122595200000,1.12762
1122854400000,1.12923
1122940800000,1.12556
1123027200000,1.12501
1123113600000,1.12358
1123200000000,1.12399
1123459200000,1.12253
1123545600000,1.12137
1123632000000,1.12271
1123718400000,1.12371
1123804800000,1.12296
1124064000000,1.12355
1124150400000,1.12625
1124236800000,1.12765
1124323200000,1.13022
1124409600000,1.13293
1124668800000,1.1341
1124755200000,1.13409
1124841600000,1.13387
1124928000000,1.13455
1125014400000,1.13417
1125273600000,1.1333
1125360000000,1.13361
1125446400000,1.13595
1125532800000,1.13738
1125619200000,1.13513
1126051200000,1.13218
1126137600000,1.13456
1126224000000,1.13526
1126310400000,1.13649
1126483200000,1.13649
1126569600000,1.13806
1126656000000,1.1388
1126742400000,1.13852
1126828800000,1.14193
1126915200000,1.14049
1127088000000,1.13995
1127174400000,1.14285
1127260800000,1.14337
1127692800000,1.14212
1127779200000,1.14473
1127865600000,1.14426
1127952000000,1.14354
1128038400000,1.14387
1128297600000,1.13799
1128384000000,1.13944
1128470400000,1.13905
1128556800000,1.13822
1128643200000,1.13713
1128902400000,1.13454
1128988800000,1.1369
1129075200000,1.13885
1129161600000,1.13787
1129248000000,1.13662
1129507200000,1.13561
1129593600000,1.13568
1129680000000,1.13645
1129766400000,1.13669
1129852800000,1.13637
1130112000000,1.13527
1130198400000,1.13756
1130284800000,1.13572
1130371200000,1.1321
1130457600000,1.1311
1130716800000,1.13165
1130803200000,1.13709
1130889600000,1.13986
1130976000000,1.14078
1131062400000,1.1224
1131321600000,1.12478
1131408000000,1.14865
1131494400000,1.15009
1131580800000,1.14554
1131667200000,1.14448
1131926400000,1.14731
1132012800000,1.14662
1132099200000,1.14365
1132185600000,1.14347
1132272000000,1.14397
1132531200000,1.1432
1132617600000,1.14272
1132704000000,1.14578
1132790400000,1.14366
1132876800000,1.14325
1133136000000,1.14466
1133222400000,1.14761
1133308800000,1.1491
1133395200000,1.14853
1133481600000,1.14949
1133740800000,1.15212
1133827200000,1.15078
1133913600000,1.15128
1134000000000,1.15275
1134086400000,1.15154
1134345600000,1.15248
1134432000000,1.14848
1134518400000,1.14914
1134604800000,1.14828
1134691200000,1.14776
1134950400000,1.14946
1135036800000,1.15126
1135123200000,1.15096
1135209600000,1.1521
1135296000000,1.1519
1135641600000,1.15238
1135728000000,1.15343
1135814400000,1.15384
1135900800000,1.15025
1136246400000,1.15515
1136332800000,1.15329
1136419200000,1.15124
1136505600000,1.1546
1136764800000,1.15397
1136851200000,1.1539
1136937600000,1.15437
1137024000000,1.15652
1137110400000,1.15766
1137369600000,1.15599
1137456000000,1.15468
1137542400000,1.15802
1137628800000,1.15761
1137715200000,1.15774
1137974400000,1.1574
1138060800000,1.1554
1138147200000,1.15333
