date,set03
1088640000000,1.00234
1088726400000,1.00231
1088985600000,1.0038
1089072000000,1.00121
1089158400000,1.00384
1089244800000,1.00153
1089331200000,1.00195
1089590400000,1.00291
1089676800000,1.00263
1089763200000,1.00252
1089849600000,1.00165
1089936000000,1.00223
1090195200000,1.0022
1090281600000,1.00233
1090368000000,1.00261
1090454400000,1.00289
1090540800000,1.00308
1090800000000,1.00573
1090886400000,1.00417
1090972800000,1.00483
1091059200000,1.00286
1091145600000,1.00338
1091404800000,1.00531
1091491200000,1.00471
1091577600000,1.00467
1091664000000,1.00497
1091750400000,1.00521
1092009600000,1.00656
1092096000000,1.0071
1092182400000,1.00679
1092268800000,1.00657
1092355200000,1.00729
1092614400000,1.00769
1092700800000,1.00961
1092787200000,1.00896
1092873600000,1.01096
1092960000000,1.01151
1093219200000,1.01295
1093305600000,1.01194
1093392000000,1.01268
1093478400000,1.01306
1093564800000,1.01447
1093824000000,1.01416
1093910400000,1.01457
1093996800000,1.01443
1094083200000,1.01425
1094169600000,1.014
1094515200000,1.01456
1094601600000,1.01543
1094688000000,1.01648
1094774400000,1.01493
1095033600000,1.01525
1095120000000,1.01562
1095206400000,1.01696
1095292800000,1.01631
1095379200000,1.01691
1095638400000,1.01717
1095724800000,1.01763
1095897600000,1.01673
1095984000000,1.017
1096243200000,1.01687
1096329600000,1.01654
1096416000000,1.01741
1096502400000,1.01682
1096588800000,1.02095
1096848000000,1.01984
1096934400000,1.0198
1097020800000,1.0208
1097107200000,1.02162
1097193600000,1.02231
1097452800000,1.02083
1097539200000,1.02254
1097625600000,1.02349
1097712000000,1.02303
1097798400000,1.0262
1098057600000,1.02882
1098144000000,1.02853
1098230400000,1.0297
1098316800000,1.03355
1098403200000,1.03993
1098662400000,1.04331
1098748800000,1.04162
1098835200000,1.0393
1098921600000,1.03992
1099008000000,1.04263
1099267200000,1.04463
1099353600000,1.04702
1099440000000,1.04807
1099526400000,1.04947
1099612800000,1.04992
1099872000000,1.0508
1099958400000,1.05456
1100044800000,1.05722
1100131200000,1.06334
1100217600000,1.07121
1100476800000,1.0733
1100563200000,1.07704
1100649600000,1.08047
1100736000000,1.08729
1100822400000,1.08286
1101081600000,1.08752
1101168000000,1.09057
1101254400000,1.09919
1101340800000,1.09104
1101427200000,1.09122
1101686400000,1.08492
1101772800000,1.08514
1101859200000,1.08373
1101945600000,1.07642
1102032000000,1.07707
1102377600000,1.07813
1102464000000,1.08247
1102550400000,1.08246
1102636800000,1.08275
1102723200000,1.08381
1102896000000,1.08428
1102982400000,1.08458
1103068800000,1.08473
1103155200000,1.08591
1103241600000,1.08686
1103500800000,1.0874
1103587200000,1.08788
1103673600000,1.08712
1103760000000,1.08738
1104105600000,1.08792
1104192000000,1.08965
1104278400000,1.09037
1104364800000,1.08806
1104451200000,1.08789
1104710400000,1.08883
1104796800000,1.0932
1104883200000,1.09327
1104969600000,1.09602
1105056000000,1.09617
1105315200000,1.09657
1105401600000,1.10598
1105488000000,1.10354
1105574400000,1.10473
1105660800000,1.10509
1105920000000,1.10524
1106006400000,1.10718
1106092800000,1.10751
1106179200000,1.11053
1106265600000,1.11067
1106524800000,1.11229
1106611200000,1.11308
1106697600000,1.11078
1106784000000,1.11182
1106870400000,1.11255
1107129600000,1.09423
1107216000000,1.11262
1107302400000,1.11372
1107388800000,1.11377
1107475200000,1.11241
1107734400000,1.11108
1107820800000,1.11114
1107907200000,1.11295
1107993600000,1.11355
1108080000000,1.11528
1108339200000,1.11586
1108425600000,1.11719
1108512000000,1.1189
1108598400000,1.11986
1108684800000,1.1194
1108944000000,1.11943
1109030400000,1.11882
1109116800000,1.11943
1109203200000,1.12053
1109289600000,1.12104
1109548800000,1.12249
1109635200000,1.12377
1109721600000,1.1215
1110153600000,1.12005
1110240000000,1.11847
1110326400000,1.12013
1110412800000,1.12235
1110499200000,1.12302
1110585600000,1.12345
1110758400000,1.1243
1110844800000,1.12347
1110931200000,1.12335
1111017600000,1.12365
1111104000000,1.12391
1111363200000,1.1236
1111449600000,1.12222
1111536000000,1.12251
1111622400000,1.1221
1111708800000,1.12235
1111968000000,1.12299
1112054400000,1.12293
1112140800000,1.12295
1112227200000,1.12491
1112313600000,1.12287
1112572800000,1.12332
1112659200000,1.12417
1112745600000,1.12412
1112832000000,1.12415
1112918400000,1.12396
1113177600000,1.12494
1113264000000,1.12542
1113350400000,1.125
1113436800000,1.12528
1113523200000,1.12539
1113782400000,1.12553
