date,set05
1088640000000,1.00234
1088726400000,1.00048
1088985600000,1.00311
1089072000000,1.00307
1089158400000,1.003
1089244800000,1.00646
1089331200000,1.0076
1089590400000,1.00856
1089676800000,1.00895
1089763200000,1.00881
1089849600000,1.00846
1089936000000,1.00907
1090195200000,1.00907
1090281600000,1.00836
1090368000000,1.00988
1090454400000,1.00777
1090540800000,1.00838
1090800000000,1.00905
1090886400000,1.00893
1090972800000,1.00838
1091059200000,1.0072
1091145600000,1.00807
1091404800000,1.0063
1091491200000,1.00896
1091577600000,1.00904
1091664000000,1.00957
1091750400000,1.01063
1092009600000,1.01159
1092096000000,1.01253
1092182400000,1.01255
1092268800000,1.01246
1092355200000,1.01305
1092614400000,1.01372
1092700800000,1.01474
1092787200000,1.01433
1092873600000,1.01482
1092960000000,1.01466
1093219200000,1.01526
1093305600000,1.01511
1093392000000,1.01483
1093478400000,1.0153
1093564800000,1.01638
1093824000000,1.01652
1093910400000,1.01728
1093996800000,1.01754
1094083200000,1.01818
1094169600000,1.0183
1094515200000,1.01787
1094601600000,1.01786
1094688000000,1.0184
1094774400000,1.01828
1095033600000,1.01905
1095120000000,1.01934
1095206400000,1.0198
1095292800000,1.01982
1095379200000,1.0199
1095638400000,1.02068
1095724800000,1.02122
1095897600000,1.02151
1095984000000,1.0227
1096243200000,1.02283
1096329600000,1.02299
1096416000000,1.02326
1096502400000,1.02374
1096588800000,1.02416
1096848000000,1.02416
1096934400000,1.02418
1097020800000,1.02485
1097107200000,1.02519
1097193600000,1.02592
1097452800000,1.02565
1097539200000,1.02818
1097625600000,1.02792
1097712000000,1.02791
1097798400000,1.02814
1098057600000,1.02881
1098144000000,1.02898
1098230400000,1.02887
1098316800000,1.02937
1098403200000,1.02944
1098662400000,1.02974
1098748800000,1.03071
1098835200000,1.03098
1098921600000,1.03176
1099008000000,1.03066
1099267200000,1.03124
1099353600000,1.03164
1099440000000,1.03127
1099526400000,1.03145
1099612800000,1.03225
1099872000000,1.03277
1099958400000,1.03261
1100044800000,1.03329
1100131200000,1.03365
1100217600000,1.03444
1100476800000,1.0349
1100563200000,1.03575
1100649600000,1.03629
1100736000000,1.03703
1100822400000,1.03712
1101081600000,1.03769
1101168000000,1.03819
1101254400000,1.03879
1101340800000,1.03869
1101427200000,1.03941
1101686400000,1.0399
1101772800000,1.04026
1101859200000,1.04113
1101945600000,1.04162
1102032000000,1.04197
1102377600000,1.04186
1102464000000,1.04484
1102550400000,1.04544
1102636800000,1.04644
1102723200000,1.04841
1102896000000,1.04867
1102982400000,1.04914
1103068800000,1.0509
1103155200000,1.05293
1103241600000,1.05325
1103500800000,1.05338
1103587200000,1.05404
1103673600000,1.05439
1103760000000,1.05463
1104105600000,1.05476
1104192000000,1.05485
1104278400000,1.0549
1104364800000,1.05507
1104451200000,1.05552
1104710400000,1.06004
1104796800000,1.06079
1104883200000,1.06166
1104969600000,1.06181
1105056000000,1.06237
1105315200000,1.0633
1105401600000,1.0645
1105488000000,1.06528
1105574400000,1.06591
1105660800000,1.06722
1105920000000,1.06737
1106006400000,1.06836
1106092800000,1.06831
1106179200000,1.06925
1106265600000,1.06903
1106524800000,1.07013
1106611200000,1.07004
1106697600000,1.0702
1106784000000,1.06973
1106870400000,1.06972
1107129600000,1.07134
1107216000000,1.07132
1107302400000,1.07206
1107388800000,1.07211
1107475200000,1.07278
1107734400000,1.07304
1107820800000,1.07372
1107907200000,1.07396
1107993600000,1.07404
1108080000000,1.07494
1108339200000,1.07531
1108425600000,1.07509
1108512000000,1.07623
1108598400000,1.07589
1108684800000,1.07588
1108944000000,1.07517
1109030400000,1.07529
1109116800000,1.07524
1109203200000,1.07554
1109289600000,1.07569
1109548800000,1.07722
1109635200000,1.07612
1109721600000,1.07639
1110153600000,1.07641
1110240000000,1.07806
1110326400000,1.07875
1110412800000,1.0783
1110499200000,1.07806
1110585600000,1.07859
1110758400000,1.07874
1110844800000,1.07853
1110931200000,1.07874
1111017600000,1.07923
1111104000000,1.07969
1111363200000,1.07903
1111449600000,1.07891
1111536000000,1.07835
1111622400000,1.07857
1111708800000,1.07871
1111968000000,1.07927
1112054400000,1.07981
1112140800000,1.07968
1112227200000,1.08003
1112313600000,1.08036
1112572800000,1.08083
1112659200000,1.08126
1112745600000,1.0815
1112832000000,1.08171
1112918400000,1.08235
1113177600000,1.08218
1113264000000,1.08398
1113350400000,1.08269
1113436800000,1.08341
1113523200000,1.08356
1113782400000,1.08337
1113868800000,1.08386
1113955200000,1.08444
1114041600000,1.08381
1114128000000,1.08354
1114387200000,1.08444
1114473600000,1.08486
1114560000000,1.08528
1114646400000,1.08535
1114732800000,1.08614
1115078400000,1.0869
1115164800000,1.08666
1115251200000,1.08674
1115596800000,1.0878
1115683200000,1.08839
1115769600000,1.08992
1115856000000,1.09077
1115942400000,1.09156
1116201600000,1.09271
1116288000000,1.09269
1116374400000,1.09316
1116460800000,1.09337
1116547200000,1.09417
1116979200000,1.09426
1117065600000,1.09541
1117152000000,1.0955
1117238400000,1.09573
1117411200000,1.09611
1117497600000,1.09629
1117584000000,1.09688
1117670400000,1.09802
1117756800000,1.0988
1118016000000,1.09966
1118102400000,1.0998
1118188800000,1.10115
1118275200000,1.10187
1118361600000,1.10227
1118620800000,1.10337
1118707200000,1.10283
1118793600000,1.10284
1118880000000,1.10267
1118966400000,1.10037
1119225600000,1.10105
1119312000000,1.10056
1119398400000,1.10265
1119484800000,1.10423
1119571200000,1.10484
1119830400000,1.10543
1119916800000,1.10584
1120003200000,1.10634
1120089600000,1.10718
1120176000000,1.10692
1120435200000,1.10754
1120521600000,1.10847
1120608000000,1.10813
1120694400000,1.10833
1120780800000,1.10901
1121040000000,1.10989
1121126400000,1.10925
1121212800000,1.10734
1121299200000,1.10706
1121385600000,1.1082
1121644800000,1.10862
1121731200000,1.10822
1121817600000,1.10925
1121904000000,1.10894
1121990400000,1.10764
1122249600000,1.10806
1122336000000,1.1107
1122422400000,1.11166
1122508800000,1.11235
1122595200000,1.11161
1122854400000,1.11302
1122940800000,1.11042
1123027200000,1.1101
1123113600000,1.10932
1123200000000,1.10997
1123459200000,1.10905
1123545600000,1.10822
1123632000000,1.11001
1123718400000,1.11073
1123804800000,1.11023
1124064000000,1.11084
1124150400000,1.11298
1124236800000,1.11447
1124323200000,1.1176
1124409600000,1.11981
1124668800000,1.12242
1124755200000,1.12187
1124841600000,1.12246
1124928000000,1.12165
1125014400000,1.12256
1125273600000,1.12212
1125360000000,1.12256
1125446400000,1.12375
1125532800000,1.12521
1125619200000,1.12389
1126051200000,1.12175
1126137600000,1.12364
1126224000000,1.12419
1126310400000,1.12547
1126483200000,1.12556
1126569600000,1.12667
1126656000000,1.12716
1126742400000,1.12719
1126828800000,1.13041
1126915200000,1.1293
1127088000000,1.12895
1127174400000,1.13104
1127260800000,1.1313
1127692800000,1.1306
1127779200000,1.13246
1127865600000,1.13202
1127952000000,1.13166
1128038400000,1.13191
1128297600000,1.12977
1128384000000,1.13082
1128470400000,1.13044
1128556800000,1.12954
1128643200000,1.12935
1128902400000,1.12741
1128988800000,1.12933
1129075200000,1.13101
1129161600000,1.13007
1129248000000,1.1291
1129507200000,1.12796
1129593600000,1.12838
1129680000000,1.12873
1129766400000,1.12892
1129852800000,1.12887
1130112000000,1.12828
1130198400000,1.13006
1130284800000,1.12869
1130371200000,1.12581
1130457600000,1.12511
1130716800000,1.12602
1130803200000,1.13078
1130889600000,1.13363
1130976000000,1.1345
1131062400000,1.11628
1131321600000,1.11832
1131408000000,1.14103
1131494400000,1.14205
1131580800000,1.13803
1131667200000,1.13727
1131926400000,1.13949
1132012800000,1.13895
1132099200000,1.13522
1132185600000,1.13441
1132272000000,1.13505
1132531200000,1.13422
1132617600000,1.13473
1132704000000,1.13726
1132790400000,1.13535
1132876800000,1.13499
1133136000000,1.13622
1133222400000,1.13922
1133308800000,1.14019
1133395200000,1.13941
1133481600000,1.14015
1133740800000,1.14298
1133827200000,1.1423
1133913600000,1.14286
1134000000000,1.14386
1134086400000,1.1428
1134345600000,1.1443
1134432000000,1.1407
1134518400000,1.14144
1134604800000,1.14087
1134691200000,1.13984
1134950400000,1.1418
1135036800000,1.14372
1135123200000,1.14339
1135209600000,1.14451
1135296000000,1.14397
1135641600000,1.14463
1135728000000,1.14576
1135814400000,1.14603
1135900800000,1.14432
1136246400000,1.14668
1136332800000,1.14557
1136419200000,1.14457
1136505600000,1.14785
1136764800000,1.14733
1136851200000,1.14735
1136937600000,1.14789
1137024000000,1.14997
1137110400000,1.1514
1137369600000,1.14949
1137456000000,1.148
1137542400000,1.15153
1137628800000,1.15117
1137715200000,1.151
1137974400000,1.15069
1138060800000,1.14938
1138147200000,1.14696
