,set01,set02,set03,set04,set05,set06,row
1126915200,1.17116,1.17665,1.15777,1.13835,1.1293,1.14049,9/17/05 0:00
1127088000,1.17189,1.17615,1.15839,1.13812,1.12895,1.13995,9/19/05 0:00
1127174400,1.17159,1.17672,1.15876,1.13996,1.13104,1.14285,9/20/05 0:00
1127260800,1.17144,1.17629,1.15857,1.14022,1.1313,1.14337,9/21/05 0:00
1127692800,1.17139,1.17652,1.15887,1.13992,1.1306,1.14212,9/26/05 0:00
1127779200,1.1723,1.17728,1.15931,1.14124,1.13246,1.14473,9/27/05 0:00
1127865600,1.17273,1.17764,1.15966,1.14076,1.13202,1.14426,9/28/05 0:00
1127952000,1.17383,1.17872,1.16094,1.14027,1.13166,1.14354,9/29/05 0:00
1128038400,1.17318,1.17757,1.16029,1.14032,1.13191,1.14387,9/30/05 0:00
1128297600,1.17275,1.17777,1.15982,1.13871,1.12977,1.13799,10/3/05 0:00
1128384000,1.17228,1.17694,1.16017,1.13993,1.13082,1.13944,10/4/05 0:00
1128470400,1.17101,1.17547,1.15808,1.1392,1.13044,1.13905,10/5/05 0:00
1128556800,1.172,1.17603,1.15798,1.13781,1.12954,1.13822,10/6/05 0:00
1128643200,1.17272,1.18029,1.16344,1.13771,1.12935,1.13713,10/7/05 0:00
1128902400,1.17254,1.17999,1.16352,1.1363,1.12741,1.13454,10/10/05 0:00
1128988800,1.17258,1.18022,1.16335,1.13796,1.12933,1.1369,10/11/05 0:00
1129075200,1.17391,1.18165,1.16445,1.13906,1.13101,1.13885,10/12/05 0:00
1129161600,1.17315,1.18088,1.16367,1.13821,1.13007,1.13787,10/13/05 0:00
1129248000,1.17248,1.18035,1.16304,1.13722,1.1291,1.13662,10/14/05 0:00
1129507200,1.17303,1.18039,1.16289,1.13624,1.12796,1.13561,10/17/05 0:00
1129593600,1.1723,1.17936,1.16186,1.13657,1.12838,1.13568,10/18/05 0:00
1129680000,1.1729,1.17963,1.16194,1.13708,1.12873,1.13645,10/19/05 0:00
1129766400,1.1716,1.17836,1.16072,1.13723,1.12892,1.13669,10/20/05 0:00
1129852800,1.17258,1.17954,1.16187,1.13713,1.12887,1.13637,10/21/05 0:00
1130112000,1.17109,1.17767,1.16055,1.13687,1.12828,1.13527,10/24/05 0:00
1130198400,1.17108,1.178,1.16091,1.13848,1.13006,1.13756,10/25/05 0:00
1130284800,1.17095,1.17743,1.16025,1.13737,1.12869,1.13572,10/26/05 0:00
1130371200,1.16998,1.17643,1.15901,1.13488,1.12581,1.1321,10/27/05 0:00
1130457600,1.1702,1.17749,1.15912,1.13428,1.12511,1.1311,10/28/05 0:00
1130716800,1.17335,1.17982,1.16161,1.13462,1.12602,1.13165,10/31/05 0:00
1130803200,1.1748,1.18156,1.16311,1.1388,1.13078,1.13709,11/1/05 0:00
1130889600,1.17404,1.1813,1.16298,1.14134,1.13363,1.13986,11/2/05 0:00
1130976000,1.17528,1.18131,1.16263,1.14242,1.1345,1.14078,11/3/05 0:00
1131062400,1.17595,1.18219,1.16242,1.12578,1.11628,1.1224,11/4/05 0:00
1131321600,1.17747,1.18267,1.16268,1.12755,1.11832,1.12478,11/7/05 0:00
1131408000,1.17768,1.18226,1.16221,1.14784,1.14103,1.14865,11/8/05 0:00
1131494400,1.17751,1.18167,1.16182,1.14854,1.14205,1.15009,11/9/05 0:00
1131580800,1.17827,1.18259,1.16243,1.145,1.13803,1.14554,11/10/05 0:00
1131667200,1.17234,1.1808,1.1617,1.14423,1.13727,1.14448,11/11/05 0:00
1131926400,1.17148,1.18061,1.16152,1.14595,1.13949,1.14731,11/14/05 0:00
1132012800,1.17213,1.18119,1.16165,1.14571,1.13895,1.14662,11/15/05 0:00
1132099200,1.17204,1.18059,1.16114,1.14283,1.13522,1.14365,11/16/05 0:00
1132185600,1.17122,1.17997,1.1609,1.14214,1.13441,1.14347,11/17/05 0:00
1132272000,1.17912,1.18251,1.16215,1.14252,1.13505,1.14397,11/18/05 0:00
1132531200,1.17953,1.18324,1.16267,1.14151,1.13422,1.1432,11/21/05 0:00
1132617600,1.1789,1.18275,1.16241,1.14209,1.13473,1.14272,11/22/05 0:00
1132704000,1.17868,1.1827,1.16235,1.14422,1.13726,1.14578,11/23/05 0:00
1132790400,1.1782,1.18207,1.16196,1.14251,1.13535,1.14366,11/24/05 0:00
1132876800,1.17894,1.18316,1.1627,1.14239,1.13499,1.14325,11/25/05 0:00
1133136000,1.17872,1.18279,1.16243,1.14351,1.13622,1.14466,11/28/05 0:00
1133222400,1.17967,1.18313,1.16261,1.1459,1.13922,1.14761,11/29/05 0:00
1133308800,1.18034,1.18352,1.16268,1.14701,1.14019,1.1491,11/30/05 0:00
1133395200,1.17997,1.18278,1.16183,1.1472,1.13941,1.14853,12/1/05 0:00
1133481600,1.18128,1.18646,1.16418,1.14792,1.14015,1.14949,12/2/05 0:00
1133740800,1.18074,1.18417,1.16235,1.15016,1.14298,1.15212,12/5/05 0:00
1133827200,1.18005,1.18394,1.1623,1.15006,1.1423,1.15078,12/6/05 0:00
1133913600,1.18007,1.18419,1.16203,1.15078,1.14286,1.15128,12/7/05 0:00
1134000000,1.18027,1.18431,1.16219,1.1517,1.14386,1.15275,12/8/05 0:00
1134086400,1.18126,1.18442,1.16269,1.15095,1.1428,1.15154,12/9/05 0:00
1134345600,1.18037,1.18368,1.16183,1.1518,1.1443,1.15248,12/12/05 0:00
1134432000,1.18096,1.18396,1.16189,1.14919,1.1407,1.14848,12/13/05 0:00
1134518400,1.18039,1.18364,1.16161,1.14973,1.14144,1.14914,12/14/05 0:00
1134604800,1.18003,1.18306,1.16097,1.14952,1.14087,1.14828,12/15/05 0:00
1134691200,1.18,1.18387,1.16167,1.1487,1.13984,1.14776,12/16/05 0:00
1134950400,1.18163,1.1846,1.16243,1.15038,1.1418,1.14946,12/19/05 0:00
1135036800,1.18136,1.1847,1.16226,1.14663,1.14372,1.15126,12/20/05 0:00
1135123200,1.18191,1.18466,1.1622,1.14615,1.14339,1.15096,12/21/05 0:00
1135209600,1.18326,1.18594,1.16276,1.14693,1.14451,1.1521,12/22/05 0:00
1135296000,1.18331,1.18581,1.16256,1.14642,1.14397,1.1519,12/23/05 0:00
1135641600,1.18445,1.18686,1.16316,1.14702,1.14463,1.15238,12/27/05 0:00
1135728000,1.18472,1.18714,1.16372,1.14802,1.14576,1.15343,12/28/05 0:00
1135814400,1.18716,1.18946,1.16544,1.14842,1.14603,1.15384,12/29/05 0:00
1135900800,1.1874,1.18972,1.16566,1.14924,1.14432,1.15025,12/30/05 0:00
1136246400,1.18723,1.18931,1.16539,1.1538,1.14668,1.15515,1/3/06 0:00
1136332800,1.18851,1.19042,1.16627,1.1531,1.14557,1.15329,1/4/06 0:00
1136419200,1.1881,1.19036,1.16633,1.15288,1.14457,1.15124,1/5/06 0:00
1136505600,1.18774,1.1895,1.1663,1.15535,1.14785,1.1546,1/6/06 0:00
1136764800,1.18753,1.18944,1.16631,1.15531,1.14733,1.15397,1/9/06 0:00
1136851200,1.18798,1.19048,1.16705,1.15563,1.14735,1.1539,1/10/06 0:00
1136937600,1.1882,1.19069,1.16717,1.15632,1.14789,1.15437,1/11/06 0:00
1137024000,1.1881,1.1914,1.16785,1.15838,1.14997,1.15652,1/12/06 0:00
1137110400,1.1891,1.19132,1.16825,1.15901,1.1514,1.15766,1/13/06 0:00
1137369600,1.18864,1.19116,1.16826,1.15749,1.14949,1.15599,1/16/06 0:00
1137456000,1.18865,1.19185,1.16908,1.15638,1.148,1.15468,1/17/06 0:00
1137542400,1.18979,1.19231,1.16951,1.15946,1.15153,1.15802,1/18/06 0:00
1137628800,1.19025,1.19287,1.17022,1.1591,1.15117,1.15761,1/19/06 0:00
1137715200,1.19042,1.1928,1.17019,1.15876,1.151,1.15774,1/20/06 0:00
1137974400,1.19002,1.19223,1.16996,1.15858,1.15069,1.1574,1/23/06 0:00
1138060800,1.19049,1.19265,1.17028,1.15755,1.14938,1.1554,1/24/06 0:00
1138147200,1.18961,1.19189,1.16959,1.15565,1.14696,1.15333,1/25/06 0:00
