date,set04
1088640000000,1.00234
1088726400000,1.00029
1088985600000,1.00251
1089072000000,1.00295
1089158400000,1.00285
1089244800000,1.00423
1089331200000,1.00516
1089590400000,1.00645
1089676800000,1.00665
1089763200000,1.00573
1089849600000,1.00572
1089936000000,1.00656
1090195200000,1.00616
1090281600000,1.00614
1090368000000,1.00765
1090454400000,1.00538
1090540800000,1.00607
1090800000000,1.00653
1090886400000,1.00672
1090972800000,1.00579
1091059200000,1.00486
1091145600000,1.00557
1091404800000,1.00685
1091491200000,1.00843
1091577600000,1.00828
1091664000000,1.00899
1091750400000,1.01043
1092009600000,1.01122
1092096000000,1.01232
1092182400000,1.01225
1092268800000,1.01206
1092355200000,1.01269
1092614400000,1.01366
1092700800000,1.01451
1092787200000,1.01443
1092873600000,1.01467
1092960000000,1.01472
1093219200000,1.01531
1093305600000,1.01517
1093392000000,1.01483
1093478400000,1.01529
1093564800000,1.01637
1093824000000,1.0169
1093910400000,1.0178
1093996800000,1.01823
1094083200000,1.01897
1094169600000,1.01919
1094515200000,1.01846
1094601600000,1.01819
1094688000000,1.01866
1094774400000,1.01882
1095033600000,1.01978
1095120000000,1.01999
1095206400000,1.02057
1095292800000,1.02096
1095379200000,1.02073
1095638400000,1.02167
1095724800000,1.02227
1095897600000,1.02255
1095984000000,1.02369
1096243200000,1.02419
1096329600000,1.0244
1096416000000,1.02455
1096502400000,1.02515
1096588800000,1.02599
1096848000000,1.02581
1096934400000,1.02597
1097020800000,1.02629
1097107200000,1.02687
1097193600000,1.02739
1097452800000,1.0274
1097539200000,1.03039
1097625600000,1.02956
1097712000000,1.02996
1097798400000,1.03033
1098057600000,1.03124
1098144000000,1.0315
1098230400000,1.03116
1098316800000,1.0321
1098403200000,1.03212
1098662400000,1.03231
1098748800000,1.03341
1098835200000,1.0337
1098921600000,1.03429
1099008000000,1.03332
1099267200000,1.03412
1099353600000,1.03445
1099440000000,1.03419
1099526400000,1.03445
1099612800000,1.03541
1099872000000,1.0361
1099958400000,1.03587
1100044800000,1.03669
1100131200000,1.03713
1100217600000,1.03802
1100476800000,1.03852
1100563200000,1.03951
1100649600000,1.03989
1100736000000,1.04077
1100822400000,1.04098
1101081600000,1.04164
1101168000000,1.04225
1101254400000,1.04291
1101340800000,1.04294
1101427200000,1.04374
1101686400000,1.04411
1101772800000,1.0443
1101859200000,1.04517
