date,set02
1088640000000,1.00234
1088726400000,1.00337
1088985600000,1.00589
1089072000000,1.00295
1089158400000,1.00508
1089244800000,1.00308
1089331200000,1.00348
1089590400000,1.00446
1089676800000,1.00424
1089763200000,1.00435
1089849600000,1.00371
1089936000000,1.0041
1090195200000,1.00415
1090281600000,1.00456
1090368000000,1.00494
1090454400000,1.00513
1090540800000,1.00538
1090800000000,1.00768
1090886400000,1.00665
1090972800000,1.00718
1091059200000,1.00544
1091145600000,1.00625
1091404800000,1.00792
1091491200000,1.00762
1091577600000,1.00762
1091664000000,1.00799
1091750400000,1.00835
1092009600000,1.00942
1092096000000,1.01024
1092182400000,1.01022
1092268800000,1.01039
1092355200000,1.01085
1092614400000,1.01138
1092700800000,1.01319
1092787200000,1.0127
1092873600000,1.01434
1092960000000,1.0149
1093219200000,1.0162
1093305600000,1.01536
1093392000000,1.016
1093478400000,1.01641
1093564800000,1.01781
1093824000000,1.01763
1093910400000,1.01824
1093996800000,1.01822
1094083200000,1.01811
1094169600000,1.01801
1094515200000,1.01833
1094601600000,1.01919
1094688000000,1.01992
1094774400000,1.01906
1095033600000,1.01899
1095120000000,1.01944
1095206400000,1.02055
1095292800000,1.02012
1095379200000,1.02073
1095638400000,1.02079
1095724800000,1.02138
1095897600000,1.02082
1095984000000,1.02139
1096243200000,1.02145
1096329600000,1.02113
1096416000000,1.02221
1096502400000,1.02191
1096588800000,1.02556
1096848000000,1.0248
1096934400000,1.02498
1097020800000,1.02543
1097107200000,1.02609
1097193600000,1.02651
1097452800000,1.02527
1097539200000,1.02718
1097625600000,1.02773
1097712000000,1.02738
1097798400000,1.02983
1098057600000,1.03229
1098144000000,1.03181
1098230400000,1.03157
1098316800000,1.03502
1098403200000,1.04067
1098662400000,1.0422
1098748800000,1.04107
1098835200000,1.04013
1098921600000,1.04067
1099008000000,1.04283
1099267200000,1.0444
1099353600000,1.0459
1099440000000,1.0464
1099526400000,1.04733
1099612800000,1.04863
1099872000000,1.04914
1099958400000,1.05188
1100044800000,1.05392
1100131200000,1.05845
1100217600000,1.064
1100476800000,1.06572
1100563200000,1.06818
1100649600000,1.07089
1100736000000,1.07923
1100822400000,1.07411
1101081600000,1.07862
1101168000000,1.08148
1101254400000,1.08971
1101340800000,1.08178
1101427200000,1.08175
1101686400000,1.08471
1101772800000,1.08491
1101859200000,1.08532
1101945600000,1.08574
1102032000000,1.08685
1102377600000,1.08808
1102464000000,1.08953
1102550400000,1.08964
1102636800000,1.09016
1102723200000,1.09125
1102896000000,1.09131
1102982400000,1.09191
1103068800000,1.09195
1103155200000,1.09341
1103241600000,1.09433
1103500800000,1.09476
1103587200000,1.09551
1103673600000,1.09436
1103760000000,1.09453
1104105600000,1.09579
1104192000000,1.09674
1104278400000,1.09731
1104364800000,1.09496
1104451200000,1.09468
1104710400000,1.09606
1104796800000,1.10136
1104883200000,1.10306
1104969600000,1.10593
1105056000000,1.106
1105315200000,1.10802
1105401600000,1.10993
1105488000000,1.11428
1105574400000,1.11583
1105660800000,1.11666
1105920000000,1.11691
1106006400000,1.11966
1106092800000,1.12018
1106179200000,1.12409
1106265600000,1.12402
1106524800000,1.12389
1106611200000,1.12594
1106697600000,1.12665
1106784000000,1.12558
1106870400000,1.12707
1107129600000,1.12719
1107216000000,1.129
1107302400000,1.12757
1107388800000,1.12778
1107475200000,1.12665
1107734400000,1.12513
1107820800000,1.12515
1107907200000,1.12708
1107993600000,1.12914
1108080000000,1.13166
1108339200000,1.13265
1108425600000,1.13482
1108512000000,1.138
1108598400000,1.14021
1108684800000,1.13876
1108944000000,1.14026
1109030400000,1.13818
1109116800000,1.13918
1109203200000,1.14205
1109289600000,1.14568
1109548800000,1.14603
1109635200000,1.1484
1109721600000,1.14797
1110153600000,1.1503
1110240000000,1.14823
1110326400000,1.15127
1110412800000,1.1514
1110499200000,1.15204
1110585600000,1.1521
1110758400000,1.15209
1110844800000,1.15096
1110931200000,1.15204
1111017600000,1.15208
1111104000000,1.15342
1111363200000,1.15266
1111449600000,1.15121
1111536000000,1.14969
1111622400000,1.14939
1111708800000,1.15069
1111968000000,1.15154
1112054400000,1.1522
1112140800000,1.15165
1112227200000,1.1535
1112313600000,1.15215
1112572800000,1.15192
1112659200000,1.15271
1112745600000,1.15343
1112832000000,1.15306
1112918400000,1.1528
1113177600000,1.15415
1113264000000,1.15378
1113350400000,1.15322
1113436800000,1.15291
1113523200000,1.15316
1113782400000,1.15346
1113868800000,1.15179
1113955200000,1.15371
1114041600000,1.15346
1114128000000,1.15461
1114387200000,1.15399
1114473600000,1.15412
1114560000000,1.15465
1114646400000,1.1541
1114732800000,1.16012
1115078400000,1.15479
1115164800000,1.15552
1115251200000,1.15722
1115596800000,1.15826
1115683200000,1.15873
1115769600000,1.15838
1115856000000,1.16101
1115942400000,1.16424
1116201600000,1.16664
1116288000000,1.16643
1116374400000,1.16539
1116460800000,1.16457
1116547200000,1.16368
1116979200000,1.16281
1117065600000,1.16437
1117152000000,1.16348
1117238400000,1.16296
1117411200000,1.16289
1117497600000,1.16225
1117584000000,1.16204
1117670400000,1.16165
1117756800000,1.16119
1118016000000,1.15841
1118102400000,1.15892
1118188800000,1.1563
1118275200000,1.1568
1118361600000,1.1572
1118620800000,1.15885
1118707200000,1.15925
1118793600000,1.1598
1118880000000,1.15822
1118966400000,1.15714
1119225600000,1.15887
1119312000000,1.1587
1119398400000,1.14807
1119484800000,1.15548
1119571200000,1.15633
1119830400000,1.15667
1119916800000,1.15859
1120003200000,1.15901
1120089600000,1.16521
1120176000000,1.16032
1120435200000,1.16264
1120521600000,1.1622
1120608000000,1.1625
1120694400000,1.16341
1120780800000,1.16177
1121040000000,1.16201
1121126400000,1.16263
1121212800000,1.16246
1121299200000,1.16337
1121385600000,1.16405
1121644800000,1.16522
1121731200000,1.16466
1121817600000,1.16476
1121904000000,1.16406
1121990400000,1.16456
1122249600000,1.16414
1122336000000,1.15786
1122422400000,1.16528
1122508800000,1.16514
1122595200000,1.16961
1122854400000,1.16917
1122940800000,1.16886
1123027200000,1.16892
1123113600000,1.16919
1123200000000,1.16999
1123459200000,1.1708
1123545600000,1.16796
1123632000000,1.16821
1123718400000,1.16883
1123804800000,1.16926
1124064000000,1.1706
1124150400000,1.1708
1124236800000,1.17065
1124323200000,1.16901
1124409600000,1.17101
1124668800000,1.16731
1124755200000,1.16786
1124841600000,1.16752
1124928000000,1.16589
1125014400000,1.16882
1125273600000,1.16774
1125360000000,1.16844
1125446400000,1.16935
1125532800000,1.16816
1125619200000,1.16977
1126051200000,1.17066
1126137600000,1.1716
1126224000000,1.17245
1126310400000,1.17074
1126483200000,1.17152
1126569600000,1.17237
1126656000000,1.17252
1126742400000,1.17449
1126828800000,1.17489
1126915200000,1.17665
1127088000000,1.17615
1127174400000,1.17672
1127260800000,1.17629
1127692800000,1.17652
1127779200000,1.17728
1127865600000,1.17764
1127952000000,1.17872
1128038400000,1.17757
1128297600000,1.17777
1128384000000,1.17694
1128470400000,1.17547
1128556800000,1.17603
1128643200000,1.18029
1128902400000,1.17999
1128988800000,1.18022
1129075200000,1.18165
1129161600000,1.18088
1129248000000,1.18035
1129507200000,1.18039
1129593600000,1.17936
1129680000000,1.17963
1129766400000,1.17836
1129852800000,1.17954
1130112000000,1.17767
1130198400000,1.178
1130284800000,1.17743
1130371200000,1.17643
1130457600000,1.17749
1130716800000,1.17982
1130803200000,1.18156
1130889600000,1.1813
1130976000000,1.18131
1131062400000,1.18219
1131321600000,1.18267
1131408000000,1.18226
1131494400000,1.18167
1131580800000,1.18259
1131667200000,1.1808
1131926400000,1.18061
1132012800000,1.18119
1132099200000,1.18059
1132185600000,1.17997
1132272000000,1.18251
1132531200000,1.18324
1132617600000,1.18275
1132704000000,1.1827
1132790400000,1.18207
1132876800000,1.18316
1133136000000,1.18279
1133222400000,1.18313
1133308800000,1.18352
1133395200000,1.18278
1133481600000,1.18646
1133740800000,1.18417
1133827200000,1.18394
1133913600000,1.18419
1134000000000,1.18431
1134086400000,1.18442
1134345600000,1.18368
1134432000000,1.18396
1134518400000,1.18364
1134604800000,1.18306
1134691200000,1.18387
1134950400000,1.1846
1135036800000,1.1847
1135123200000,1.18466
1135209600000,1.18594
1135296000000,1.18581
1135641600000,1.18686
1135728000000,1.18714
1135814400000,1.18946
1135900800000,1.18972
1136246400000,1.18931
1136332800000,1.19042
1136419200000,1.19036
1136505600000,1.1895
1136764800000,1.18944
1136851200000,1.19048
1136937600000,1.19069
1137024000000,1.1914
1137110400000,1.19132
1137369600000,1.19116
1137456000000,1.19185
1137542400000,1.19231
1137628800000,1.19287
1137715200000,1.1928
1137974400000,1.19223
1138060800000,1.19265
1138147200000,1.19189
