date,set01
1088640000000,1.00234
1088726400000,1.00284
1088985600000,1.00433
1089072000000,1.00198
1089158400000,1.00428
1089244800000,1.00231
1089331200000,1.00254
1089590400000,1.00338
1089676800000,1.00323
1089763200000,1.00334
1089849600000,1.00261
1089936000000,1.0029
1090195200000,1.00315
1090281600000,1.00365
1090368000000,1.00379
1090454400000,1.00386
1090540800000,1.00421
1090800000000,1.00657
1090886400000,1.00532
1090972800000,1.00573
1091059200000,1.00463
1091145600000,1.00516
1091404800000,1.00656
1091491200000,1.00658
1091577600000,1.00629
1091664000000,1.00642
1091750400000,1.00641
1092009600000,1.00746
1092096000000,1.00796
1092182400000,1.00769
1092268800000,1.00783
1092355200000,1.00839
1092614400000,1.00876
1092700800000,1.01042
1092787200000,1.01025
1092873600000,1.01174
1092960000000,1.01242
1093219200000,1.01358
1093305600000,1.01296
1093392000000,1.0136
1093478400000,1.01399
1093564800000,1.015
1093824000000,1.01493
1093910400000,1.01558
1093996800000,1.01557
1094083200000,1.01523
1094169600000,1.01488
1094515200000,1.01535
1094601600000,1.01627
1094688000000,1.01716
1094774400000,1.01608
1095033600000,1.01622
1095120000000,1.01651
1095206400000,1.01754
1095292800000,1.01734
1095379200000,1.01817
1095638400000,1.01834
1095724800000,1.01897
1095897600000,1.01841
1095984000000,1.01845
1096243200000,1.01888
1096329600000,1.01857
1096416000000,1.01956
1096502400000,1.01942
1096588800000,1.02239
1096848000000,1.02191
1096934400000,1.02211
1097020800000,1.02223
1097107200000,1.023
1097193600000,1.02352
1097452800000,1.02222
1097539200000,1.02355
1097625600000,1.0242
1097712000000,1.02351
1097798400000,1.02595
1098057600000,1.02804
1098144000000,1.02815
1098230400000,1.02881
1098316800000,1.0329
1098403200000,1.03663
1098662400000,1.03891
1098748800000,1.03739
1098835200000,1.03569
1098921600000,1.03633
1099008000000,1.0387
1099267200000,1.04046
1099353600000,1.04243
1099440000000,1.04326
1099526400000,1.04449
1099612800000,1.04578
1099872000000,1.04641
1099958400000,1.04927
1100044800000,1.05143
1100131200000,1.05604
1100217600000,1.06214
1100476800000,1.06525
1100563200000,1.06884
1100649600000,1.07183
1100736000000,1.0784
1100822400000,1.07389
1101081600000,1.07846
1101168000000,1.08136
1101254400000,1.08958
1101340800000,1.08121
1101427200000,1.08124
1101686400000,1.08932
1101772800000,1.08977
